,0,1,2,3,4,5,6
0,54470,1,1,1,1,0,0
1,23773,1,1,1,1,0,0
2,106128,1,1,1,1,0,0
3,4861,1,1,1,1,0,0
4,110767,1,1,1,1,0,0
5,119792,1,1,1,1,0,0
6,66711,1,1,1,1,0,0
7,133143,1,1,1,1,0,1
8,120163,1,1,1,1,0,0
9,32516,1,1,1,1,0,0
10,18636,1,1,1,1,0,1
11,169923,1,1,1,1,0,0
12,44621,1,1,1,1,0,0
13,159142,1,1,1,1,0,0
14,156971,1,1,1,1,0,0
15,28182,1,1,1,1,0,1
16,175594,1,1,1,1,0,0
17,182390,1,1,1,1,0,0
18,30846,1,1,1,1,0,0
19,31074,1,1,1,1,0,0
20,119821,1,1,1,1,0,0
21,124015,0,1,1,1,0,0
22,87283,1,1,1,1,0,0
23,168088,1,1,1,1,0,0
24,4770,1,1,1,1,0,0
25,64307,1,1,1,1,0,0
26,84238,1,1,1,1,0,0
27,115163,1,1,1,1,0,0
28,67564,1,1,1,1,0,0
29,27128,1,1,1,1,0,0
30,42787,1,1,1,1,0,0
31,87727,0,1,1,1,0,0
32,162255,1,1,1,1,0,0
33,50728,1,1,1,1,0,1
34,123530,0,1,1,1,0,1
35,139588,1,1,1,1,0,0
36,141689,1,1,1,1,0,0
37,42748,1,1,1,1,0,0
38,68403,1,1,1,1,0,0
39,74629,1,1,1,1,0,0
40,176268,1,1,1,1,0,0
41,100456,1,1,1,1,0,0
42,22860,1,1,1,1,0,0
43,69509,1,1,1,1,0,0
44,90808,1,1,1,1,0,0
45,20738,1,1,1,1,0,0
46,169532,1,1,1,1,0,0
47,122032,1,1,1,1,0,0
48,164574,1,1,1,1,0,0
49,147288,1,1,1,1,0,0
50,88736,1,1,1,1,0,0
51,65290,1,1,1,1,0,0
52,3990,1,1,1,1,0,0
53,104801,1,1,1,1,0,0
54,44709,1,1,1,1,0,0
55,32478,1,1,1,1,0,0
56,185492,0,1,1,1,0,0
57,112668,1,1,1,1,0,0
58,140452,1,1,1,1,0,0
59,86023,1,1,1,1,0,0
60,167179,1,1,1,1,0,0
61,108676,1,1,1,1,0,0
62,78191,1,1,1,1,0,1
63,174733,1,1,1,1,0,0
64,168601,1,1,1,1,0,0
65,185354,1,1,1,1,0,0
66,166344,1,1,1,1,0,0
67,24334,1,1,1,1,0,0
68,139727,1,1,1,1,0,0
69,70214,1,1,1,1,0,0
70,99334,1,1,1,1,0,1
71,77824,1,1,1,1,1,0
72,58312,1,1,1,1,0,0
73,182555,1,1,1,1,0,0
74,166392,1,1,1,1,0,0
75,57723,1,1,1,1,0,1
76,13599,1,1,1,1,0,0
77,161101,1,1,1,1,0,0
78,3102,1,1,1,1,0,0
79,50667,1,1,1,1,0,0
80,98145,1,1,1,1,0,1
81,17994,1,1,1,1,0,0
82,7871,1,1,1,1,0,0
83,65292,1,1,1,1,0,0
84,98099,1,1,1,1,0,1
85,185167,1,1,1,1,0,0
86,10558,1,1,1,1,0,0
87,91076,1,1,1,1,0,0
88,151390,1,1,1,1,0,0
89,62479,1,1,1,1,0,0
90,70392,1,1,1,1,0,0
91,72190,1,1,1,1,0,0
92,152994,1,1,1,1,0,0
93,51190,1,1,1,1,0,0
94,125946,1,1,1,1,0,0
95,168038,1,1,1,1,0,0
96,20425,1,1,1,1,0,0
97,40483,1,1,1,1,0,0
98,71448,1,1,1,1,0,0
99,144025,1,1,1,1,0,0
100,148741,1,1,1,1,0,0
101,9241,1,1,1,1,0,0
102,827,1,1,1,1,0,0
103,69191,1,1,1,1,0,0
104,51982,1,1,1,1,0,0
105,148060,1,1,1,1,0,0
106,132596,1,1,1,1,0,0
107,74831,1,1,1,1,0,0
108,80909,1,1,1,1,0,0
109,79646,1,1,1,1,0,0
110,146491,1,1,1,1,0,0
111,40686,1,1,1,1,0,0
112,155131,1,1,1,1,0,0
113,118097,1,1,1,1,0,0
114,69027,1,1,1,1,0,0
115,51950,1,1,1,1,0,0
116,98190,1,1,1,1,0,1
117,11749,1,1,1,1,0,0
118,185170,1,1,1,1,0,0
119,11232,1,1,1,1,0,0
120,113054,1,1,1,1,0,0
121,107751,0,1,1,1,0,0
122,45799,1,1,1,1,0,0
123,179404,1,1,1,1,0,0
124,28440,1,1,1,1,0,0
125,4825,1,1,1,1,0,0
126,101083,1,1,1,1,0,1
127,50118,1,1,1,1,0,0
128,17445,1,1,1,1,0,0
129,105166,1,1,1,1,0,0
130,177602,1,1,1,1,0,0
131,25159,1,1,1,1,0,0
132,89077,1,1,1,1,0,1
133,93470,1,1,1,1,0,0
134,68671,1,1,1,1,0,0
135,140163,1,1,1,1,0,0
136,47625,1,1,1,1,0,0
137,163849,1,1,1,1,0,0
138,57104,1,1,1,1,0,0
139,158842,1,1,1,1,0,0
140,26675,1,1,1,1,0,0
141,52886,1,1,1,1,0,0
142,163257,1,1,1,1,0,0
143,80801,1,1,1,1,0,0
144,89878,1,1,1,1,0,1
145,125388,1,1,1,1,0,0
146,8278,1,1,1,1,0,0
147,5872,1,1,1,1,0,0
148,7921,1,1,1,1,0,0
149,71912,1,1,1,1,0,0
150,93128,1,1,1,1,0,0
151,160596,1,1,1,1,0,0
152,177128,1,1,1,1,0,0
153,28817,1,1,1,1,0,0
154,53470,1,1,1,1,0,0
155,49700,1,1,1,1,0,1
156,42413,1,1,1,1,0,0
157,56373,1,1,1,1,0,0
158,4064,1,1,1,1,0,0
159,63517,1,1,1,1,0,0
160,176927,1,1,1,1,0,0
161,161576,1,1,1,1,0,0
162,1449,1,1,1,1,0,0
163,9413,1,1,1,1,0,0
164,174007,1,1,1,1,0,0
165,158827,1,1,1,1,0,0
166,23926,1,1,1,1,0,0
167,159248,1,1,1,1,0,0
168,136209,1,1,1,1,0,0
169,24186,1,1,1,1,0,0
170,32184,1,1,1,1,0,0
171,141941,1,1,1,1,0,0
172,162046,1,1,1,1,0,0
173,58,1,1,1,1,0,0
174,99654,1,1,1,1,0,1
175,14656,1,1,1,1,0,0
176,169425,1,1,1,1,0,0
177,12898,1,1,1,1,0,0
178,162651,1,1,1,1,0,0
179,108197,1,1,1,1,0,0
180,17329,1,1,1,1,0,1
181,24165,1,1,1,1,0,0
182,103750,1,1,1,1,0,1
183,153306,1,1,1,1,0,0
184,128043,1,1,1,1,0,0
185,135417,1,1,1,1,0,1
186,100665,1,1,1,1,0,1
187,67551,1,1,1,1,0,0
188,24533,1,1,1,1,0,0
189,41811,1,1,1,1,0,0
190,72470,1,1,1,1,0,0
191,112531,1,1,1,1,0,0
192,146522,1,1,1,1,0,0
193,46613,1,1,1,1,0,0
194,125771,1,1,1,1,0,0
195,64456,1,1,1,1,0,0
196,119217,1,1,1,1,0,0
197,64848,1,1,1,1,0,0
198,140722,1,1,1,1,0,0
199,177163,1,1,1,1,0,0
200,130208,1,1,1,1,0,0
201,177610,1,1,1,1,0,0
202,132141,0,1,1,1,0,0
203,9884,1,1,1,1,0,0
204,65816,1,1,1,1,0,0
205,87704,0,1,1,1,0,1
206,22845,1,1,1,1,0,0
207,164877,1,1,1,1,0,0
208,52224,1,1,1,1,0,0
209,25816,1,1,1,1,0,0
210,116440,1,1,1,1,0,0
211,28270,1,1,1,1,0,0
212,30031,1,1,1,1,0,0
213,110848,1,1,1,1,0,0
214,175489,1,1,1,1,0,0
215,49061,1,1,1,1,0,0
216,94041,1,1,1,1,0,1
217,31780,1,1,1,1,0,0
218,177074,1,1,1,1,0,0
219,88583,1,1,1,1,0,0
220,26205,1,1,1,1,0,0
221,163998,1,1,1,1,0,0
222,73054,1,1,1,1,0,0
223,169865,1,1,1,1,0,0
224,171828,1,1,1,1,0,0
225,95424,1,1,1,1,0,1
226,69092,1,1,1,1,0,1
227,13081,1,1,1,1,0,0
228,95040,1,1,1,1,0,1
229,44461,1,1,1,1,0,0
230,139858,1,1,1,1,0,0
231,59927,1,1,1,1,0,0
232,159114,1,1,1,1,0,0
233,165999,1,1,1,1,0,0
234,113521,1,1,1,1,0,0
235,68137,1,1,1,1,0,0
236,79190,1,1,1,1,0,0
237,140173,1,1,1,1,0,0
238,55558,1,1,1,1,0,0
239,17439,1,1,1,1,0,0
240,13552,1,1,1,1,0,0
241,160024,1,1,1,1,0,0
242,169506,1,1,1,1,0,0
243,22761,1,1,1,1,0,0
244,41788,1,1,1,1,0,0
245,126840,0,1,1,1,0,0
246,117003,1,1,1,1,0,0
247,92368,0,1,1,1,0,0
248,12939,1,1,1,1,0,0
249,21279,1,1,1,1,0,0
250,177185,1,1,1,1,0,0
251,81978,1,1,1,1,0,0
252,38775,1,1,1,1,0,0
253,109628,1,1,1,1,0,0
254,149684,1,1,1,1,0,0
255,113437,1,1,1,1,0,0
256,175355,1,1,1,1,0,0
257,12814,1,1,1,1,0,0
258,8030,1,1,1,1,0,0
259,91570,0,1,1,1,0,1
260,13526,1,1,1,1,0,0
261,15350,1,1,1,1,0,0
262,103489,1,1,1,1,0,1
263,181760,1,1,1,1,0,0
264,123546,1,1,1,1,0,0
265,5456,1,1,1,1,0,0
266,25474,1,1,1,1,0,0
267,69202,1,1,1,1,0,0
268,170900,1,1,1,1,0,0
269,79753,1,1,1,1,0,0
270,115831,1,1,1,1,0,0
271,71946,1,1,1,1,0,0
272,85858,1,1,1,1,0,0
273,20840,1,1,1,1,0,0
274,89446,1,1,1,1,0,1
275,80122,1,1,1,1,0,0
276,127612,1,1,1,1,0,0
277,180143,1,1,1,1,0,0
278,70144,1,1,1,1,0,0
279,145908,1,1,1,1,0,0
280,152812,1,1,1,1,0,0
281,143795,1,1,1,1,0,0
282,107959,1,1,1,1,0,0
283,162132,1,1,1,1,0,0
284,38668,1,1,1,1,0,0
285,24196,1,1,1,1,0,0
286,72160,1,1,1,1,0,0
287,50876,1,1,1,1,0,0
288,172698,1,1,1,1,0,0
289,175404,1,1,1,1,0,0
290,61770,1,1,1,1,0,0
291,6233,1,1,1,1,0,0
292,28759,1,1,1,1,0,0
293,82590,1,1,1,1,0,0
294,156830,1,1,1,1,0,0
295,77260,1,1,1,1,0,0
296,33328,1,1,1,1,0,0
297,180912,1,1,1,1,0,0
298,29976,1,1,1,1,0,0
299,30672,1,1,1,1,0,0
300,54045,1,1,1,1,0,0
301,37848,1,1,1,1,0,0
302,120978,1,1,1,1,0,0
303,109510,1,1,1,1,0,0
304,64428,1,1,1,1,0,0
305,2255,1,1,1,1,0,0
306,5291,1,1,1,1,0,0
307,155827,1,1,1,1,0,0
308,177260,1,1,1,1,0,0
309,37631,1,1,1,1,0,0
310,144773,1,1,1,1,0,0
311,143851,1,1,1,1,0,0
312,115459,1,1,1,1,1,0
313,111091,1,1,1,1,0,0
314,129321,1,1,1,1,0,0
315,47314,1,1,1,1,0,0
316,57271,1,1,1,1,0,0
317,118420,1,1,1,1,0,0
318,175256,1,1,1,1,0,0
319,177554,1,1,1,1,0,0
320,163353,1,1,1,1,0,0
321,161261,1,1,1,1,0,0
322,110087,1,1,1,1,0,0
323,163308,1,1,1,1,0,0
324,42621,1,1,1,1,0,0
325,80775,1,1,1,1,0,0
326,145119,1,1,1,1,0,0
327,63895,1,1,1,1,0,0
328,1268,1,1,1,1,0,0
329,1494,1,1,1,1,0,0
330,90483,1,1,1,1,0,1
331,107737,0,1,1,1,0,0
332,74126,1,1,1,1,0,0
333,91036,1,1,1,1,0,1
334,42394,1,1,1,1,0,0
335,87515,1,1,1,1,0,0
336,115953,1,1,1,1,0,0
337,181086,1,1,1,1,0,0
338,169999,1,1,1,1,0,0
339,8568,1,1,1,1,0,0
340,39046,1,1,1,1,0,0
341,111077,1,1,1,1,0,0
342,63054,1,1,1,1,0,0
343,42052,1,1,1,1,0,0
344,22656,1,1,1,1,0,0
345,24918,1,1,1,1,0,0
346,142715,1,1,1,1,0,0
347,87655,0,1,1,1,0,1
348,157096,1,1,1,1,0,0
349,175552,1,1,1,1,0,0
350,7828,1,1,1,1,0,1
351,101196,1,1,1,1,0,1
352,182045,1,1,1,1,0,0
353,80460,1,1,1,1,0,0
354,126141,1,1,1,1,0,0
355,184764,1,1,1,1,0,0
356,34838,1,1,1,1,0,0
357,57179,1,1,1,1,0,0
358,65399,1,1,1,1,0,0
359,169684,1,1,1,1,0,0
360,26357,1,1,1,1,0,0
361,97857,1,1,1,1,0,1
362,103084,1,1,1,1,0,1
363,83871,1,1,1,1,0,0
364,55740,1,1,1,1,0,0
365,9253,1,1,1,1,0,0
366,52123,1,1,1,1,0,0
367,154598,1,1,1,1,0,0
368,162882,1,1,1,1,0,0
369,120569,1,1,1,1,0,0
370,24973,1,1,1,1,0,0
371,155982,1,1,1,1,0,0
372,3979,1,1,1,1,0,0
373,113398,1,1,1,1,0,0
374,29218,1,1,1,1,0,0
375,105638,1,1,1,1,0,0
376,160747,1,1,1,1,0,0
377,145509,1,1,1,1,0,0
378,102412,1,1,1,1,0,0
379,85563,1,1,1,1,0,0
380,61424,1,1,1,1,0,0
381,94751,1,1,1,1,0,1
382,136917,1,1,1,1,0,0
383,16446,1,1,1,1,0,0
384,129844,1,1,1,1,0,0
385,102339,0,1,1,1,0,1
386,113099,1,1,1,1,0,0
387,85894,1,1,1,1,0,0
388,153795,1,1,1,1,0,0
389,115056,1,1,1,1,0,0
390,335,1,1,1,1,0,0
391,139811,1,1,1,1,0,0
392,113155,1,1,1,1,0,0
393,160603,1,1,1,1,0,0
394,76306,1,1,1,1,0,0
395,170082,1,1,1,1,0,0
396,84615,1,1,1,1,0,0
397,141142,1,1,1,1,0,0
398,161931,1,1,1,1,0,0
399,14477,1,1,1,1,0,0
400,142624,1,1,1,1,0,0
401,88931,1,1,1,1,0,0
402,3711,1,1,1,1,0,1
403,100314,1,1,1,1,0,1
404,180264,1,1,1,1,0,0
405,56365,1,1,1,1,0,0
406,57197,1,1,1,1,0,0
407,102683,1,1,1,1,0,1
408,169464,1,1,1,1,0,0
409,59606,1,1,1,1,0,0
410,16934,1,1,1,1,0,1
411,39295,1,1,1,1,1,0
412,65141,1,1,1,1,0,0
413,9621,1,1,1,1,0,0
414,40624,1,1,1,1,0,0
415,149848,1,1,1,1,0,0
416,12057,1,1,1,1,0,0
417,24489,1,1,1,1,0,0
418,53079,1,1,1,1,0,0
419,177227,1,1,1,1,0,0
420,11709,1,1,1,1,0,0
421,88174,0,1,1,1,0,1
422,95758,1,1,1,1,0,1
423,51074,1,1,1,1,0,0
424,70227,1,1,1,1,0,0
425,118144,1,1,1,1,0,0
426,32286,1,1,1,1,0,0
427,83510,1,1,1,1,0,0
428,122312,1,1,1,1,0,0
429,76519,1,1,1,1,0,0
430,75599,1,1,1,1,0,0
431,10559,1,1,1,1,0,0
432,170533,1,1,1,1,0,0
433,173464,1,1,1,1,0,0
434,19292,1,1,1,1,0,0
435,71402,1,1,1,1,0,0
436,121011,1,1,1,1,0,0
437,184197,1,1,1,1,0,0
438,133671,1,1,1,1,0,0
439,166187,1,1,1,1,0,0
440,36901,1,1,1,1,0,0
441,52408,1,1,1,1,0,0
442,160691,1,1,1,1,0,0
443,81311,1,1,1,1,0,0
444,82575,1,1,1,1,0,0
445,124489,1,1,1,1,0,0
446,36239,1,1,1,1,0,0
447,172656,1,1,1,1,0,0
448,6619,1,1,1,1,0,0
449,169327,1,1,1,1,0,0
450,179796,1,1,1,1,0,0
451,86005,1,1,1,1,0,0
452,38888,1,1,1,1,0,0
453,4854,1,1,1,1,0,0
454,47124,1,1,1,1,0,0
455,104195,1,1,1,1,0,0
456,67213,1,1,1,1,1,0
457,39097,1,1,1,1,0,0
458,51711,1,1,1,1,0,0
459,123367,1,1,1,1,0,0
460,150063,1,1,1,1,0,0
461,41691,1,1,1,1,0,0
462,175032,1,1,1,1,0,0
463,63778,1,1,1,1,0,0
464,55359,1,1,1,1,0,0
465,96351,1,1,1,1,0,0
466,65162,1,1,1,1,0,0
467,137380,1,1,1,1,0,0
468,107785,0,1,1,1,0,0
469,164201,1,1,1,1,0,1
470,57851,1,1,1,1,0,0
471,39383,1,1,1,1,0,0
472,178436,1,1,1,1,0,0
473,133010,1,1,1,1,0,0
474,136394,1,1,1,1,0,0
475,3910,1,1,1,1,0,1
476,95472,1,1,1,1,0,1
477,50173,1,1,1,1,0,0
478,73031,1,1,1,1,0,0
479,164230,1,1,1,1,0,0
480,133584,1,1,1,1,0,0
481,96312,1,1,1,1,0,1
482,112855,1,1,1,1,0,0
483,174613,1,1,1,1,0,0
484,77791,1,1,1,1,1,0
485,173040,1,1,1,1,0,0
486,65654,1,1,1,1,0,0
487,161070,1,1,1,1,0,0
488,47771,1,1,1,1,0,0
489,41719,1,1,1,1,0,0
490,7544,1,1,1,1,0,1
491,132407,1,1,1,1,0,0
492,127916,1,1,1,1,0,0
493,104589,1,1,1,1,0,0
494,21649,1,1,1,1,0,0
495,88201,1,1,1,1,0,1
496,24672,1,1,1,1,0,0
497,147647,1,1,1,1,0,0
498,92773,1,1,1,1,0,1
499,117546,1,1,1,1,0,0
500,104216,1,1,1,1,0,0
501,117916,1,1,1,1,0,0
502,32866,1,1,1,1,0,0
503,125160,1,1,1,1,0,0
504,122557,1,1,1,1,0,0
505,107716,1,1,1,1,0,0
506,19981,1,1,1,1,0,0
507,53067,1,1,1,1,0,0
508,143342,1,1,1,1,0,0
509,10743,1,1,1,1,0,0
510,106696,1,1,1,1,0,0
511,83424,1,1,1,1,0,0
512,32663,1,1,1,1,0,0
513,34887,1,1,1,1,0,0
514,107953,1,1,1,1,0,0
515,79408,1,1,1,1,0,1
516,72751,1,1,1,1,0,0
517,96680,1,1,1,1,0,1
518,75888,1,1,1,1,0,0
519,168903,1,1,1,1,0,0
520,139422,1,1,1,1,0,0
521,8895,1,1,1,1,0,0
522,120135,1,1,1,1,0,0
523,184710,1,1,1,1,0,0
524,75674,1,1,1,1,0,0
525,78915,1,1,1,1,0,0
526,171310,1,1,1,1,0,0
527,63819,1,1,1,1,0,0
528,37091,1,1,1,1,0,0
529,153431,1,1,1,1,0,0
530,136358,1,1,1,1,0,0
531,132444,0,1,1,1,0,0
532,144295,1,1,1,1,0,0
533,60010,1,1,1,1,0,0
534,62646,1,1,1,1,0,0
535,142906,1,1,1,1,0,0
536,138218,1,1,1,1,0,0
537,179901,1,1,1,1,0,0
538,123077,1,1,1,1,0,0
539,68193,1,1,1,1,0,0
540,17800,1,1,1,1,0,0
541,33140,1,1,1,1,0,0
542,177767,1,1,1,1,0,0
543,68834,1,1,1,1,0,0
544,162891,1,1,1,1,0,0
545,162036,1,1,1,1,0,0
546,21585,1,1,1,1,0,0
547,75948,1,1,1,1,0,0
548,184984,1,1,1,1,0,0
549,137581,1,1,1,1,0,0
550,36095,1,1,1,1,0,0
551,19224,1,1,1,1,0,1
552,17777,1,1,1,1,0,1
553,131722,0,1,1,1,0,0
554,89529,1,1,1,1,0,0
555,16784,1,1,1,1,0,0
556,175224,1,1,1,1,0,0
557,64913,1,1,1,1,0,0
558,67990,1,1,1,1,0,0
559,105385,1,1,1,1,0,0
560,31265,1,1,1,1,0,0
561,59677,1,1,1,1,0,0
562,100808,1,1,1,1,0,1
563,101460,1,1,1,1,0,1
564,85761,1,1,1,1,0,0
565,10673,1,1,1,1,0,0
566,1304,1,1,1,1,0,0
567,62741,1,1,1,1,0,0
568,138416,1,1,1,1,0,0
569,2988,1,1,1,1,0,0
570,117262,1,1,1,1,0,0
571,26488,1,1,1,1,0,0
572,3272,1,1,1,1,0,0
573,62673,1,1,1,1,0,0
574,24503,1,1,1,1,0,0
575,81772,1,1,1,1,0,0
576,169531,1,1,1,1,0,0
577,67562,1,1,1,1,0,0
578,149779,1,1,1,1,0,0
579,112479,1,1,1,1,0,0
580,140513,1,1,1,1,0,0
581,74056,1,1,1,1,0,0
582,81804,1,1,1,1,0,0
583,54683,1,1,1,1,0,0
584,155794,1,1,1,1,0,0
585,127482,1,1,1,1,0,0
586,75640,1,1,1,1,0,0
587,182219,1,1,1,1,0,0
588,5396,1,1,1,1,0,0
589,153584,1,1,1,1,0,0
590,5668,1,1,1,1,0,0
591,121243,1,1,1,1,0,0
592,146671,1,1,1,1,0,0
593,129920,1,1,1,1,0,1
594,21161,1,1,1,1,0,0
595,155144,1,1,1,1,0,0
596,175442,1,1,1,1,0,0
597,84549,1,1,1,1,0,0
598,48234,1,1,1,1,0,0
599,78024,1,1,1,1,0,0
600,93391,1,1,1,1,0,1
601,32514,1,1,1,1,0,0
602,35883,1,1,1,1,0,0
603,714,1,1,1,1,0,0
604,80720,1,1,1,1,0,0
605,27079,1,1,1,1,0,0
606,183781,1,1,1,1,0,0
607,55999,1,1,1,1,0,0
608,41796,1,1,1,1,0,0
609,898,1,1,1,1,0,0
610,64520,1,1,1,1,0,0
611,120228,1,1,1,1,0,0
612,17638,1,1,1,1,0,0
613,42985,1,1,1,1,1,0
614,126302,1,1,1,1,0,0
615,123407,1,1,1,1,0,0
616,53047,1,1,1,1,0,0
617,124021,0,1,1,1,0,1
618,148468,1,1,1,1,0,0
619,41305,1,1,1,1,0,0
620,68295,1,1,1,1,0,0
621,130883,1,1,1,1,0,0
622,65285,1,1,1,1,0,0
623,95397,1,1,1,1,0,1
624,57780,1,1,1,1,0,0
625,26176,1,1,1,1,0,0
626,126052,1,1,1,1,0,0
627,148399,1,1,1,1,0,0
628,70913,1,1,1,1,0,0
629,129595,1,1,1,1,0,0
630,41736,1,1,1,1,0,1
631,81721,1,1,1,1,0,0
632,45368,1,1,1,1,0,0
633,14163,1,1,1,1,0,0
634,86950,1,1,1,1,0,0
635,100821,1,1,1,1,0,1
636,36339,1,1,1,1,0,0
637,22773,1,1,1,1,0,0
638,10648,1,1,1,1,0,0
639,46007,1,1,1,1,0,0
640,46972,1,1,1,1,0,0
641,66083,1,1,1,1,0,0
642,32479,1,1,1,1,0,0
643,159702,1,1,1,1,0,0
644,89369,1,1,1,1,0,1
645,48487,1,1,1,1,0,1
646,134558,1,1,1,1,0,0
647,50356,1,1,1,1,0,0
648,21663,1,1,1,1,0,0
649,97682,1,1,1,1,0,1
650,75733,1,1,1,1,0,0
651,137852,1,1,1,1,0,0
652,148280,1,1,1,1,0,0
653,8414,1,1,1,1,0,0
654,179659,1,1,1,1,0,0
655,131613,1,1,1,1,0,1
656,11756,1,1,1,1,0,0
657,127971,1,1,1,1,0,0
658,119950,1,1,1,1,0,0
659,97902,1,1,1,1,0,1
660,84538,1,1,1,1,0,0
661,157529,1,1,1,1,0,0
662,44393,1,1,1,1,0,0
663,61552,1,1,1,1,0,0
664,42257,1,1,1,1,0,0
665,48553,1,1,1,1,0,0
666,9544,1,1,1,1,0,0
667,7421,1,1,1,1,0,0
668,148273,1,1,1,1,0,0
669,103995,1,1,1,1,0,1
670,178407,1,1,1,1,0,0
671,151784,1,1,1,1,0,0
672,70224,1,1,1,1,0,0
673,167319,1,1,1,1,0,0
674,44773,1,1,1,1,0,0
675,184555,1,1,1,1,0,0
676,178923,1,1,1,1,0,1
677,163089,1,1,1,1,0,0
678,90313,1,1,1,1,0,1
679,21385,1,1,1,1,0,0
680,91932,0,1,1,1,0,1
681,67968,1,1,1,1,0,0
682,80863,1,1,1,1,0,0
683,91643,0,1,1,1,0,1
684,151202,1,1,1,1,0,0
685,162946,1,1,1,1,0,0
686,69341,1,1,1,1,0,0
687,63187,1,1,1,1,0,0
688,110977,1,1,1,1,0,0
689,55816,1,1,1,1,0,0
690,34898,1,1,1,1,0,0
691,116959,1,1,1,1,0,0
692,103353,1,1,1,1,0,0
693,68087,1,1,1,1,0,0
694,89687,1,1,1,1,0,1
695,18174,1,1,1,1,0,0
696,79683,1,1,1,1,0,0
697,151616,1,1,1,1,0,0
698,16907,1,1,1,1,0,0
699,146812,1,1,1,1,0,0
700,127714,1,1,1,1,0,0
701,32275,1,1,1,1,0,0
702,41942,1,1,1,1,0,0
703,73685,1,1,1,1,0,0
704,117917,1,1,1,1,0,0
705,94644,1,1,1,1,0,1
706,122161,1,1,1,1,0,0
707,139352,1,1,1,1,0,0
708,114621,0,1,1,1,0,0
709,19973,1,1,1,1,0,0
710,15506,1,1,1,1,0,0
711,138804,1,1,1,1,0,0
712,106825,1,1,1,1,0,0
713,1126,1,1,1,1,0,0
714,158091,1,1,1,1,0,0
715,126152,1,1,1,1,0,0
716,180031,1,1,1,1,0,0
717,34274,1,1,1,1,0,0
718,159162,1,1,1,1,0,0
719,184384,1,1,1,1,0,0
720,62115,1,1,1,1,0,0
721,70200,1,1,1,1,0,0
722,103406,1,1,1,1,0,1
723,115595,1,1,1,1,0,0
724,5768,1,1,1,1,0,1
725,146529,1,1,1,1,0,0
726,34531,1,1,1,1,0,0
727,91195,0,1,1,1,0,1
728,55750,1,1,1,1,0,0
729,87440,1,1,1,1,0,0
730,24685,1,1,1,1,0,0
731,148510,1,1,1,1,0,0
732,26914,1,1,1,1,0,0
733,36184,1,1,1,1,0,0
734,115001,1,1,1,1,0,0
735,171182,1,1,1,1,0,0
736,14732,1,1,1,1,0,0
737,10999,1,1,1,1,0,0
738,15267,1,1,1,1,0,0
739,127219,1,1,1,1,0,0
740,151766,1,1,1,1,0,0
741,48194,1,1,1,1,0,0
742,154802,1,1,1,1,0,0
743,134754,1,1,1,1,0,0
744,47935,1,1,1,1,0,0
745,153711,1,1,1,1,0,0
746,46958,1,1,1,1,0,0
747,86551,1,1,1,1,0,0
748,173958,1,1,1,1,0,0
749,104959,1,1,1,1,0,0
750,24371,1,1,1,1,0,0
751,82407,1,1,1,1,0,0
752,139730,1,1,1,1,0,0
753,168310,1,1,1,1,0,0
754,35602,1,1,1,1,0,0
755,140542,1,1,1,1,0,0
756,176113,1,1,1,1,0,0
757,44066,1,1,1,1,0,0
758,13987,1,1,1,1,0,0
759,121502,1,1,1,1,0,0
760,71638,1,1,1,1,0,0
761,42836,1,1,1,1,0,0
762,6727,1,1,1,1,0,1
