row.names,pclass,survived,name,age,embarked,home.dest,room,ticket,boat,sex,first_class,second_class,third_class
1,0,1,"Allen, Miss Elisabeth Walton",29,Southampton,"St Louis, MO",B-5,24160 L221,2,0,1,0,0
2,0,0,"Allison, Miss Helen Loraine",2,Southampton,"Montreal, PQ / Chesterville, ON",C26,,,0,1,0,0
3,0,0,"Allison, Mr Hudson Joshua Creighton",30,Southampton,"Montreal, PQ / Chesterville, ON",C26,,-135,1,1,0,0
4,0,0,"Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)",25,Southampton,"Montreal, PQ / Chesterville, ON",C26,,,0,1,0,0
5,0,1,"Allison, Master Hudson Trevor",0.9167,Southampton,"Montreal, PQ / Chesterville, ON",C22,,11,1,1,0,0
6,0,1,"Anderson, Mr Harry",47,Southampton,"New York, NY",E-12,,3,1,1,0,0
7,0,1,"Andrews, Miss Kornelia Theodosia",63,Southampton,"Hudson, NY",D-7,13502 L77,10,0,1,0,0
8,0,0,"Andrews, Mr Thomas, jr",39,Southampton,"Belfast, NI",A-36,,,1,1,0,0
9,0,1,"Appleton, Mrs Edward Dale (Charlotte Lamson)",58,Southampton,"Bayside, Queens, NY",C-101,,2,0,1,0,0
10,0,0,"Artagaveytia, Mr Ramon",71,Cherbourg,"Montevideo, Uruguay",,,-22,1,1,0,0
11,0,0,"Astor, Colonel John Jacob",47,Cherbourg,"New York, NY",,17754 L224 10s 6d,-124,1,1,0,0
12,0,1,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",19,Cherbourg,"New York, NY",,17754 L224 10s 6d,4,0,1,0,0
13,0,1,"Aubert, Mrs Leontine Pauline",31.19418104,Cherbourg,"Paris, France",B-35,17477 L69 6s,9,0,1,0,0
14,0,1,"Barkworth, Mr Algernon H.",31.19418104,Southampton,"Hessle, Yorks",A-23,,B,1,1,0,0
15,0,0,"Baumann, Mr John D.",31.19418104,Southampton,"New York, NY",,,,1,1,0,0
16,0,1,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",50,Cherbourg,"Montreal, PQ",B-58/60,,6,0,1,0,0
17,0,0,"Baxter, Mr Quigg Edmond",24,Cherbourg,"Montreal, PQ",B-58/60,,,1,1,0,0
18,0,0,"Beattie, Mr Thomson",36,Cherbourg,"Winnipeg, MN",C-6,,,1,1,0,0
19,0,1,"Beckwith, Mr Richard Leonard",37,Southampton,"New York, NY",D-35,,5,1,1,0,0
20,0,1,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",47,Southampton,"New York, NY",D-35,,5,0,1,0,0
21,0,1,"Behr, Mr Karl Howell",26,Cherbourg,"New York, NY",C-148,,5,1,1,0,0
22,0,0,"Birnbaum, Mr Jakob",25,Cherbourg,"San Francisco, CA",,,-148,1,1,0,0
23,0,1,"Bishop, Mr Dickinson H.",25,Cherbourg,"Dowagiac, MI",B-49,,7,1,1,0,0
24,0,1,"Bishop, Mrs Dickinson H. (Helen Walton)",19,Cherbourg,"Dowagiac, MI",B-49,,7,0,1,0,0
25,0,1,"Bjornstrm-Steffansson, Mr Mauritz Hakan",28,Southampton,"Stockholm, Sweden / Washington, DC",, ,D,1,1,0,0
26,0,0,"Blackwell, Mr Stephen Weart",45,Southampton,"Trenton, NJ",,,-241,1,1,0,0
27,0,1,"Blank, Mr Henry",39,Cherbourg,"Glen Ridge, NJ",A-31,,7,1,1,0,0
28,0,1,"Bonnell, Miss Caroline",30,Southampton,"Youngstown, OH",C-7,,8,0,1,0,0
29,0,1,"Bonnell, Miss Elizabeth",58,Southampton,"Birkdale, England Cleveland, Ohio",C-103,,8,0,1,0,0
30,0,0,"Borebank, Mr John James",31.19418104,Southampton,"London / Winnipeg, MB",D-21/2,,,1,1,0,0
31,0,1,"Bowen, Miss Grace Scott",45,Cherbourg,"Cooperstown, NY",,,4,0,1,0,0
32,0,1,"Bowerman, Miss Elsie Edith",22,Southampton,"St Leonards-on-Sea, England Ohio",,,6,0,1,0,0
33,0,1,"Bradley, Mr George",31.19418104,Southampton,"Los Angeles, CA",,,15,1,1,0,0
34,0,0,"Brady, Mr John Bertram",41,Southampton,"Pomeroy, WA",,,,1,1,0,0
35,0,0,"Brandeis, Mr Emil",48,Cherbourg,"Omaha, NE",,17591 L50 9s 11d,-208,1,1,0,0
36,0,0,"Brewe, Dr Arthur Jackson",31.19418104,Cherbourg,"Philadelphia, PA",,,,1,1,0,0
37,0,1,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",44,Cherbourg,"Denver, CO",,17610 L27 15s 5d,6,0,1,0,0
38,0,1,"Brown, Mrs John Murray (Caroline Lane Lamson)",59,Southampton,"Belmont, MA",C-101,,D,0,1,0,0
39,0,1,"Bucknell, Mrs William Robert (Emma Eliza Ward)",60,Cherbourg,"Philadelphia, PA",,,8,0,1,0,0
40,0,0,"Butt, Major Archibald Willingham",45,Southampton,"Washington, DC",,,,1,1,0,0
41,0,1,"Calderhead, Mr Edward P.",31.19418104,Southampton,"New York, NY",,,05-jul,1,1,0,0
42,0,1,"Candee, Mrs Edward (Helen Churchill Hungerford)",53,Cherbourg,"Washington, DC",,,6,0,1,0,0
43,0,1,"Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake)",58,Cherbourg,"Germantown, Philadelphia, PA",B-51/3/5,17755 L512 6s,3,0,1,0,0
44,0,1,"Cardeza, Mr Thomas Drake Martinez",36,Cherbourg,"Austria-Hungary / Germantown, Philadelphia, PA",B-51/3/5,17755 L512 6s,3,1,1,0,0
45,0,0,"Carlsson, Mr Frans Olof",33,Southampton,"New York, NY",,,,1,1,0,0
46,0,0,"Carrau, Mr Francisco M.",31.19418104,Southampton,"Montevideo, Uruguay",,,,1,1,0,0
47,0,0,"Carrau, Mr Jose Pedro",31.19418104,Southampton,"Montevideo, Uruguay",,,,1,1,0,0
48,0,1,"Carter, Mr William Ernest",36,Southampton,"Bryn Mawr, PA",,,C,1,1,0,0
49,0,1,"Carter, Mrs William Ernest (Lucile Polk)",36,Southampton,"Bryn Mawr, PA",,,4,0,1,0,0
50,0,1,"Carter, Miss Lucile Polk",14,Southampton,"Bryn Mawr, PA",,,4,0,1,0,0
51,0,1,"Carter, Master William T. II",11,Southampton,"Bryn Mawr, PA",,,4,1,1,0,0
52,0,0,"Case, Mr Howard Brown",49,Southampton,"Ascot, Berkshire / Rochester, NY",,,,1,1,0,0
53,0,1,"Cassebeer, Mrs Henry Arthur jr (Genevieve Fosdick)",31.19418104,Cherbourg,"New York, NY",,,5,0,1,0,0
54,0,0,"Cavendish, Mr Tyrell William",36,Southampton,"Little Onn Hall, Staffs",,,-172,1,1,0,0
55,0,1,"Cavendish, Mrs Tyrell William Julia Florence Siegel",31.19418104,Southampton,"Little Onn Hall, Staffs",,,6,0,1,0,0
56,0,0,"Chaffee, Mr Herbert Fuller",46,Southampton,"Amenia, ND",,,,1,1,0,0
57,0,1,"Chaffee, Mrs Herbert Fuller (Carrie Constance Toogood)",47,Southampton,"Amenia, ND",,,,0,1,0,0
58,0,1,"Chambers, Mr Norman Campbell",27,Southampton,"New York, NY / Ithaca, NY",,,5,1,1,0,0
59,0,1,"Chambers, Mrs Norman Campbell (Bertha Griggs)",31,Southampton,"New York, NY / Ithaca, NY",,,5,0,1,0,0
60,0,1,"Cherry, Miss Gladys",31.19418104,Southampton,"London, England",,,8,0,1,0,0
