,dayofweek,mintemp,maxtemp,rain
9,2,32.0,43.0,0.0
279,6,37.9,57.0,0.52
163,5,71.1,91.0,0.0
225,6,55.9,78.1,0.0
218,6,55.0,91.9,0.0
340,1,32.0,42.1,0.07
198,2,61.0,81.0,0.0
20,1,30.0,37.0,0.0
142,3,71.1,82.4,0.67
189,5,69.1,84.9,0.0
63,7,44.1,66.0,0.0
141,3,72.0,87.1,0.0
8,6,37.0,50.0,0.0
357,5,8.1,25.0,0.0
208,6,61.0,75.9,0.3
154,4,64.9,82.9,0.0
302,3,12.9,32.0,0.0
115,1,66.0,91.0,0.21
244,5,42.1,77.0,4.88
158,7,66.9,82.9,0.0
68,6,51.1,62.1,0.23
108,2,59.0,79.0,0.05
178,2,70.0,84.9,0.0
254,3,45.0,66.9,0.95
157,1,71.1,88.0,0.0
304,2,24.1,37.9,0.48
240,2,50.0,66.9,0.0
277,1,27.0,46.0,0.0
73,4,68.0,86.0,0.0
272,5,41.0,64.0,0.0
216,6,64.0,84.0,0.0
34,1,43.0,52.0,0.0
269,1,37.0,59.0,0.0
291,1,37.0,51.1,0.81
112,5,72.0,89.1,0.66
226,2,53.1,70.0,0.0
350,5,17.1,34.0,0.0
268,5,32.0,60.1,0.0
313,2,39.0,57.0,0.05
321,1,1.0,24.1,0.0
299,7,15.1,37.9,0.0
104,1,64.0,84.9,0.0
185,2,62.1,78.1,0.26
132,1,75.0,89.1,0.12
94,2,55.9,79.0,0.0
6,5,43.0,63.0,0.71
311,1,37.9,55.0,0.0
200,1,68.0,87.1,0.0
141,6,75.9,98.1,0.56
281,4,26.1,48.0,0.0
43,3,28.0,53.1,1.0
149,2,66.0,84.0,0.01
93,3,64.9,82.9,0.0
137,3,78.1,93.0,0.0
251,6,39.0,50.0,0.0
178,4,69.1,96.1,0.57
238,4,51.1,68.0,0.0
309,6,33.1,41.0,0.02
139,1,82.0,97.0,0.0
364,4,21.0,33.1,0.0
156,2,70.0,88.0,0.26
4,1,46.0,62.6,0.14
19,6,30.9,37.9,0.03
268,2,37.0,59.0,0.0
356,1,41.0,59.0,0.63
1,3,28.9,44.1,0.0
51,2,42.1,61.0,0.0
359,2,25.0,53.1,0.17
198,3,62.6,79.0,0.02
197,6,66.0,77.0,0.0
207,1,57.0,73.9,0.0
240,5,46.9,57.9,0.02
291,3,41.0,57.0,0.17
219,3,64.9,86.0,0.0
60,7,45.0,55.0,0.05
157,4,75.0,93.9,0.0
291,7,39.0,57.9,0.0
63,5,51.1,73.9,1.26
196,4,70.0,88.0,0.0
196,7,63.0,86.0,0.0
55,5,48.0,64.0,0.13
214,1,66.0,86.0,0.0
53,7,37.9,52.0,0.0
192,2,69.1,90.0,0.29
308,7,28.0,42.1,0.0
181,1,68.0,82.0,0.0
70,5,57.0,75.9,0.0
117,6,71.1,86.0,0.0
159,6,66.9,82.0,0.0
144,7,66.0,87.1,0.0
230,5,51.1,75.0,0.14
320,6,24.1,39.9,1.75
60,3,44.1,61.0,0.0
204,4,66.0,84.9,0.01
286,6,28.9,42.1,0.0
186,7,68.0,87.1,0.0
